study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
store,0,0,0,1,2.6629511,,,,,,,,,,,,0,0,0,5,,,,,0.0229786,,0.0139373,0.0229786,0.0229786,2.6920695,1,2.6629511,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
cognitive,1,1,0,1,1.360576,,,,,,,,,,,,0,1,1,7,,,,,2.7075222,,2.7008303,2.7075222,2.7075222,4.0767265,1,1.360576,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
cushion,2,2,0,1,0.9600531,,,,,,,,,,,,0,2,2,1,,,,,4.0940802,,4.0846764,4.0940802,4.0940802,5.0600441,1,0.9600531,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
Cruise,3,3,0,1,0.8127595,,,,,,,,,,,,0,3,3,11,,,,,5.07526,,5.0645454,5.07526,5.07526,5.8944387,1,0.8127595,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
Police,4,4,0,1,0.9936614,,,,,,,,,,,,0,4,4,12,,,,,5.9106128,,5.9011893,5.9106128,5.9106128,6.9100676,1,0.9936614,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
garden,5,5,0,1,1.0594674,,,,,,,,,,,,0,5,5,10,,,,,6.9281178,,6.9183559,6.9281178,6.9281178,7.9940876,1,1.0594674,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
Chart,6,6,0,1,1.2953812,,,,,,,,,,,,0,6,6,6,,,,,8.0087239,,7.9987105,8.0087239,8.0087239,9.3100913,1,1.2953812,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
Pastry,7,7,0,1,0.9264348,,,,,,,,,,,,0,7,7,9,,,,,9.3282949,,9.3185384,9.3282949,9.3282949,10.2620996,1,0.9264348,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
tomato,8,8,0,1,1.0117584,,,,,,,,,,,,0,8,8,14,,,,,10.2757404,,10.2667488,10.2757404,10.2757404,11.2937984,1,1.0117584,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
mouse,9,9,0,1,0.7630333,,,,,,,,,,,,0,9,9,8,,,,,11.308755,,11.2975889,11.308755,11.308755,12.0780724,1,0.7630333,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
phone,10,10,0,1,0.7775713,,,,,,,,,,,,0,10,10,2,,,,,12.0956918,,12.0862276,12.0956918,12.0956918,12.8781476,1,0.7775713,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
board,11,11,0,1,0.8613293,,,,,,,,,,,,0,11,11,4,,,,,12.8937065,,12.8838135,12.8937065,12.8937065,13.7608115,1,0.8613293,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
burger,12,12,0,1,0.7808214,,,,,,,,,,,,0,12,12,13,,,,,13.7763544,,13.7653384,13.7763544,13.7763544,14.5609861,1,0.7808214,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
salad,13,13,0,1,0.6788591,,,,,,,,,,,,0,13,13,3,,,,,14.5762447,,14.5658618,14.5762447,14.5762447,15.2622009,1,0.6788591,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
book,14,14,0,1,0.6963084,,,,,,,,,,,,0,14,14,0,,,,,15.2763737,,15.2656762,15.2763737,15.2763737,15.9787952,1,0.6963084,,,,,,,,,,,,,,,4,1,2025-10-10_17h21.48.031,word priming exp,,2025.1.1,59.98976574,2025-10-10 17h21.53.265262 +0530
